datetime,open,high,low,close,volume,oi
2004-05-05 00:00:00+05:30,102.41,102.69,101.46,102.03,22162197,0
2004-05-06 00:00:00+05:30,102.99,104.59,102.82,104.05,30618192,0
2004-05-07 00:00:00+05:30,102.41,103.66,101.79,102.49,23097325,0
2004-05-10 00:00:00+05:30,101.97,101.97,99.18,99.95,33204764,0
2004-05-11 00:00:00+05:30,98.29,98.37,93.1,94.37,37880530,0
2004-05-12 00:00:00+05:30,93.17,96.13,93.17,95.61,32445044,0
2004-05-13 00:00:00+05:30,92.4,100.94,91.25,98.45,67937221,0
2004-05-14 00:00:00+05:30,98.18,99.68,90.71,91.84,63943751,0
2004-05-17 00:00:00+05:30,90.48,90.84,73.48,77.83,48661003,0
2004-05-18 00:00:00+05:30,82.78,88.15,78.94,83.49,70140805,0
2004-05-19 00:00:00+05:30,85.52,89.7,85.52,87.1,59844234,0
2004-05-20 00:00:00+05:30,89.13,89.45,84.73,85.32,48816197,0
2004-05-21 00:00:00+05:30,85.07,85.09,82.78,84.6,35040166,0
2004-05-24 00:00:00+05:30,86.63,88.17,85.67,87.37,35100826,0
2004-05-25 00:00:00+05:30,87.2,88.53,84.06,87.72,41592842,0
2004-05-26 00:00:00+05:30,88.55,90.09,87.66,88.42,35557455,0
2004-05-27 00:00:00+05:30,87.01,88.08,85.97,86.44,29651792,0
